assembler,sequence_identity,n_datasets,mean_clusters,se_clusters,min_clusters,max_clusters
MERGEPIPE,0.7,180,55393.5,56.81923130908174,53913,56662
MERGEPIPE,0.8,180,63723.666666666664,48.40523131205639,62569,65278
MERGEPIPE,0.9,180,54573.25,47.81731340104601,53151,55452
MERGEPIPE,0.91,180,55908.416666666664,47.276519838680045,54495,56746
MERGEPIPE,0.92,180,57322.833333333336,48.052198818548625,55916,58230
MERGEPIPE,0.93,180,58958.166666666664,51.1465091102522,57497,59786
MERGEPIPE,0.94,180,60803.75,58.11108867186556,59257,61878
MERGEPIPE,0.95,180,63604.75,61.244504370943005,61861,64825
MERGEPIPE,0.96,180,67321.58333333333,60.06626119558415,65613,68376
MERGEPIPE,0.97,180,74644.58333333333,70.5732675156369,72727,75779
MERGEPIPE,0.98,180,91349.83333333333,75.09189177139952,89206,92525
MERGEPIPE,0.99,180,125792.75,79.72060805815526,123424,126951
MERGEPIPE,1,180,172136.83333333334,90.91907012408583,169330,173664
PLASS,0.5,180,45513.666666666664,57.7094302210392,44384,46629
PLASS,0.6,180,51067.416666666664,61.730374698841295,49553,52761
PLASS,0.7,180,54716,57.17671649152588,53221,55936
PLASS,0.8,180,62936.25,44.97536181501002,61795,64086
PLASS,0.9,180,53705.416666666664,49.45030666222618,52197,54601
PLASS,0.91,180,55071.333333333336,46.421058252544825,53717,55888
PLASS,0.92,180,56437.083333333336,49.37838415277895,55153,57482
PLASS,0.93,180,58009.333333333336,52.41454278603072,56626,59002
PLASS,0.94,180,59804.25,58.416026449789406,58338,61023
PLASS,0.95,180,62503,59.57996207467211,60931,63770
PLASS,0.96,180,66136.83333333333,61.72061030814128,64417,67362
PLASS,0.97,180,73308.33333333333,69.95544826813723,71355,74407
PLASS,0.98,180,89709.83333333333,73.30008239731907,87617,90818
PLASS,0.99,180,123590.41666666667,76.08334557121218,121166,124749
PLASS,1,180,170217.66666666666,89.3365122144876,167402,171684
RNABLOOM,0.5,180,437.41666666666663,18.753633002058987,4,653
RNABLOOM,0.6,180,562.25,24.09188890063925,6,827
RNABLOOM,0.7,180,656.3333333333333,28.138149040209836,6,958
RNABLOOM,0.8,180,877.5,37.689626083830014,6,1268
RNABLOOM,0.9,180,1148.3333333333333,49.36131497956146,7,1631
RNABLOOM,0.91,180,1176.6666666666667,50.57343733250764,7,1662
RNABLOOM,0.92,180,1204.3333333333333,51.756793500899235,7,1696
RNABLOOM,0.93,180,1230.5,52.88757356521839,7,1740
RNABLOOM,0.94,180,1257.5,54.05473035147411,7,1780
RNABLOOM,0.95,180,1294.3333333333335,55.64854910957916,7,1828
RNABLOOM,0.96,180,1340.9166666666665,57.66242106361337,7,1901
RNABLOOM,0.97,180,1414.9166666666665,60.887289851719196,7,2014
RNABLOOM,0.98,180,1503.0833333333335,64.71413617724465,7,2144
RNABLOOM,0.99,180,1579.8333333333335,68.04227539893806,7,2247
RNABLOOM,1,180,1644.3333333333335,70.83376382824602,7,2338
SOAPDENOVO,0.5,180,353.5833333333333,0.8156170810147088,338,373
SOAPDENOVO,0.6,180,526.75,0.6298923971836738,512,540
SOAPDENOVO,0.7,180,594,0.8764453346221917,567,608
SOAPDENOVO,0.8,180,637.8333333333334,0.6259691430848258,621,651
SOAPDENOVO,0.9,180,664.75,0.655250247162074,650,684
SOAPDENOVO,0.91,180,667.3333333333334,0.698050846630593,653,688
SOAPDENOVO,0.92,180,672.4166666666666,0.6597346775915931,659,691
SOAPDENOVO,0.93,180,677.3333333333334,0.6582334389005944,663,696
SOAPDENOVO,0.94,180,680,0.655161429778113,665,698
SOAPDENOVO,0.95,180,681.5,0.6555166271095891,667,700
SOAPDENOVO,0.96,180,681.75,0.6481063951554102,667,700
SOAPDENOVO,0.97,180,682.75,0.6488243199339885,668,701
SOAPDENOVO,0.98,180,682.8333333333334,0.6507647222875965,668,701
